,Archivo,Ruta,Tipo,Ubicación,Estado,Sugerencia
55,README-AI-ROADMAP.md,private/infra/ai/docs/README-AI-ROADMAP.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
56,README_master_genie.md,private/infra/ai/genie/README_master_genie.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
57,ZDU-WORKFLOW-INTEL.md,private/infra/ai/modulos-sugeridos/ZDU-WORKFLOW-INTEL.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
58,ZDU-OSS-HEALTHSCAN.md,private/infra/ai/modulos-sugeridos/ZDU-OSS-HEALTHSCAN.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
59,ZDU-GITHUB-CONTROL.md,private/infra/ai/modulos-sugeridos/ZDU-GITHUB-CONTROL.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
62,README_CRAWLER_ZDU.md,private/infra/scripts/crawlers/README_CRAWLER_ZDU.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
64,README-iCrawler.md,private/infra/scripts/crawlers/README-iCrawler.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
66,README_INTELGEN-MD-AUDIT.md,private/infra/scripts/audits/runners/README_INTELGEN-MD-AUDIT.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
73,ZDU_INFRA_MILESTONE_001.md,private/infra/milestones/ZDU_INFRA_MILESTONE_001.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
74,README_ZDU_MANIFESTS.md,private/infra/mappings/README_ZDU_MANIFESTS.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
76,ZDU_FOLDER_MAPPING_SCHEMA_V1.md,private/infra/mappings/ZDU_FOLDER_MAPPING_SCHEMA_V1.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
77,ZDU_FOLDER_DEPENDENCY_STRATEGY_V1.md,private/infra/mappings/ZDU_FOLDER_DEPENDENCY_STRATEGY_V1.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
78,README_renders.md,private/infra/assets/renders/README_renders.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
79,README_luna_varela.md,private/infra/assets/heroes/luna-varela/README_luna_varela.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
80,ZDU-002_README.md,private/infra/assets/cdu/ZDU-002/ZDU-002_README.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
81,README_QMA360_STRUCTURE.md,private/infra/assets/qma360/README_QMA360_STRUCTURE.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
82,README_qma360.md,private/infra/assets/qma360/README_qma360.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
89,README_salud-beneficios.md,private/infra/assets/qma360/salud-beneficios/README_salud-beneficios.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
93,README_salud-casos-estudio.md,private/infra/assets/qma360/salud-casos-estudio/README_salud-casos-estudio.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
94,README_banca-beneficios.md,private/infra/assets/qma360/banca-beneficios/README_banca-beneficios.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
98,README_PARTNER_SYNC.md,private/infra/assets/qma360/partners/README_PARTNER_SYNC.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
99,README_banca-datasheets.md,private/infra/assets/qma360/banca-datasheets/README_banca-datasheets.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
100,README_educacion-textsheets.md,private/infra/assets/qma360/educacion-textsheets/README_educacion-textsheets.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
101,README_salud-datasheets.md,private/infra/assets/qma360/salud-datasheets/README_salud-datasheets.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
102,README_blackcat.md,private/infra/assets/villanos/blackhat/README_blackcat.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
103,README-JAVA-ENV.md,private/infra/validation/README-JAVA-ENV.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
106,README-INTELGEN-RISK.md,private/inteligen/README-INTELGEN-RISK.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
107,INTELGEN-RISK.md,private/inteligen/INTELGEN-RISK.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
110,ZDU_QUALITY_INDEX.md,private/quality/ZDU_QUALITY_INDEX.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
111,ZDU_QUALITY_INDEX.md,private/quality/console/ZDU_QUALITY_INDEX.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
112,README-ZDU-FRAMEWORK.md,private/framework/README-ZDU-FRAMEWORK.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
113,ZDU-RECALC.md,private/recalc/ZDU-RECALC.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
114,NODO-CAMP.md,private/campaigns/NODO-CAMP.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
