Archivo,Ruta,Tipo,Ubicación,Estado
ZDU_CHECKPOINT_COMPONENTES_ZDU.md,private/infra/checkpoints/ZDU_CHECKPOINT_COMPONENTES_ZDU.md,other,checkpoints,✅ Consolidado en Checkpoints
ZDU_CHECKPOINT_AUDITORIA_MD_FINALv1_2025_08_03.md,private/infra/checkpoints/ZDU_CHECKPOINT_AUDITORIA_MD_FINALv1_2025_08_03.md,other,checkpoints,✅ Consolidado en Checkpoints
ZDU_CRAWLER_SCRIPTS_CONSOLIDATION_20250803.md,private/infra/checkpoints/ZDU_CRAWLER_SCRIPTS_CONSOLIDATION_20250803.md,other,checkpoints,✅ Consolidado en Checkpoints
bitacora-sync-campanas.md,private/infra/checkpoints/bitacora-sync-campanas.md,other,checkpoints,✅ Consolidado en Checkpoints
iCrawler.md,private/infra/checkpoints/iCrawler.md,other,checkpoints,✅ Consolidado en Checkpoints
zdu_quality_checkpoint_PHASE_IV.md,private/infra/checkpoints/zdu_quality_checkpoint_PHASE_IV.md,other,checkpoints,✅ Consolidado en Checkpoints
ZDU_CHECKPOINT_AI_README_CONSOLIDADO.md,private/infra/checkpoints/ZDU_CHECKPOINT_AI_README_CONSOLIDADO.md,readme,checkpoints,✅ Consolidado en Checkpoints
ZDU-SIGMA-CORE-CHECKPOINT.md,private/infra/checkpoints/ZDU-SIGMA-CORE-CHECKPOINT.md,other,checkpoints,✅ Consolidado en Checkpoints
ZDU_CHECKPOINTS_MASTER_CONSOLIDATED.md,private/infra/checkpoints/ZDU_CHECKPOINTS_MASTER_CONSOLIDATED.md,other,checkpoints,✅ Consolidado en Checkpoints
ZDU_CHECKPOINT_INFRA_MAPPINGS_CONSOLIDADO.md,private/infra/checkpoints/ZDU_CHECKPOINT_INFRA_MAPPINGS_CONSOLIDADO.md,other,checkpoints,✅ Consolidado en Checkpoints
ZDU_SUPABASE_AZURE_SYNC_V1.md,private/infra/checkpoints/ZDU_SUPABASE_AZURE_SYNC_V1.md,other,checkpoints,✅ Consolidado en Checkpoints
ZDU_CHECKPOINT_VISUAL_CODE_0803.md,private/infra/checkpoints/ZDU_CHECKPOINT_VISUAL_CODE_0803.md,other,checkpoints,✅ Consolidado en Checkpoints
readme.md,private/infra/checkpoints/readme.md,readme,checkpoints,✅ Consolidado en Checkpoints
README_INFRA_MAPPINGS_CONSOLIDADO.md,private/infra/checkpoints/README_INFRA_MAPPINGS_CONSOLIDADO.md,readme,checkpoints,✅ Consolidado en Checkpoints
ZDU_CHECKPOINT_INFRA_EXPERIMENTAL.md,private/infra/checkpoints/ZDU_CHECKPOINT_INFRA_EXPERIMENTAL.md,other,checkpoints,✅ Consolidado en Checkpoints
ZDU_CONTAINER_VALIDATION_010825.md,private/infra/checkpoints/ZDU_CONTAINER_VALIDATION_010825.md,other,checkpoints,✅ Consolidado en Checkpoints
ZDU_AUDIT_INFRA_010825.md,private/infra/checkpoints/ZDU_AUDIT_INFRA_010825.md,other,checkpoints,✅ Consolidado en Checkpoints
ZDU-CHECKPOINT-FRAMEWORK.md,private/infra/checkpoints/ZDU-CHECKPOINT-FRAMEWORK.md,other,checkpoints,✅ Consolidado en Checkpoints
qma360_candado_readmes.md,private/infra/checkpoints/qma360_candado_readmes.md,readme,checkpoints,✅ Consolidado en Checkpoints
ZDU_SUPABASE_FOLDER_OPTIMIZATION_V1.md,private/infra/checkpoints/ZDU_SUPABASE_FOLDER_OPTIMIZATION_V1.md,other,checkpoints,✅ Consolidado en Checkpoints
ZDU_CHECKPOINT_QUALITY_CONSOLIDADO.md,private/infra/checkpoints/ZDU_CHECKPOINT_QUALITY_CONSOLIDADO.md,other,checkpoints,✅ Consolidado en Checkpoints
ZDU_CHECKPOINT_INGESTA_QMA360_20250801.md,private/infra/checkpoints/ZDU_CHECKPOINT_INGESTA_QMA360_20250801.md,other,checkpoints,✅ Consolidado en Checkpoints
ZDU_CHECKPOINT_SQL_CONSOLIDADO.md,private/infra/checkpoints/ZDU_CHECKPOINT_SQL_CONSOLIDADO.md,other,checkpoints,✅ Consolidado en Checkpoints
ZDU_CHECKPOINT_CLERK_CONSOLIDADO.md,private/infra/checkpoints/ZDU_CHECKPOINT_CLERK_CONSOLIDADO.md,other,checkpoints,✅ Consolidado en Checkpoints
ZDU_CHECKPOINT_CLEANUP_MDUS_2025_08_03.md,private/infra/checkpoints/ZDU_CHECKPOINT_CLEANUP_MDUS_2025_08_03.md,other,checkpoints,✅ Consolidado en Checkpoints
ZDU_CHECKPOINT_PRIVET_README_CONSOLIDADO.md,private/infra/checkpoints/ZDU_CHECKPOINT_PRIVET_README_CONSOLIDADO.md,readme,checkpoints,✅ Consolidado en Checkpoints
ZDU_CHECKPOINTS_INDEX.md,private/infra/checkpoints/ZDU_CHECKPOINTS_INDEX.md,other,checkpoints,✅ Consolidado en Checkpoints
bitacora-ingesta-cdu_20250801.md,private/infra/logs/ingestas/bitacora-ingesta-cdu_20250801.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
ligas-tecnologias.md,private/infra/ai/ligas-tecnologias.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README.md,private/infra/ai/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
roadmap.md,private/infra/ai/roadmap.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README-AI-REST.md,private/infra/ai/docs/README-AI-REST.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README-AI-ROADMAP.md,private/infra/ai/docs/README-AI-ROADMAP.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README_master_genie.md,private/infra/ai/genie/README_master_genie.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
ZDU-WORKFLOW-INTEL.md,private/infra/ai/modulos-sugeridos/ZDU-WORKFLOW-INTEL.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
ZDU-OSS-HEALTHSCAN.md,private/infra/ai/modulos-sugeridos/ZDU-OSS-HEALTHSCAN.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
ZDU-GITHUB-CONTROL.md,private/infra/ai/modulos-sugeridos/ZDU-GITHUB-CONTROL.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README.md,private/infra/ai/clerk/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README.md,private/infra/scripts/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README_CRAWLER_ZDU.md,private/infra/scripts/crawlers/README_CRAWLER_ZDU.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README.md,private/infra/scripts/crawlers/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README-iCrawler.md,private/infra/scripts/crawlers/README-iCrawler.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
readme.md,private/infra/scripts/audits/readme.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README_INTELGEN-MD-AUDIT.md,private/infra/scripts/audits/runners/README_INTELGEN-MD-AUDIT.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
readme.md,private/infra/scripts/audits/runners/readme.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README.md,private/infra/scripts/audits/modules/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
readme.md,private/infra/scripts/audits/data/readme.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README.md,private/infra/scripts/utils/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README.md,private/infra/scripts/data/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
readme.md,private/infra/milestones/readme.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
ZDU_INFRA_MILESTONE_001.md,private/infra/milestones/ZDU_INFRA_MILESTONE_001.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README_ZDU_MANIFESTS.md,private/infra/mappings/README_ZDU_MANIFESTS.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
readme.md,private/infra/mappings/readme.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
ZDU_FOLDER_MAPPING_SCHEMA_V1.md,private/infra/mappings/ZDU_FOLDER_MAPPING_SCHEMA_V1.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
ZDU_FOLDER_DEPENDENCY_STRATEGY_V1.md,private/infra/mappings/ZDU_FOLDER_DEPENDENCY_STRATEGY_V1.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README_renders.md,private/infra/assets/renders/README_renders.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README_luna_varela.md,private/infra/assets/heroes/luna-varela/README_luna_varela.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
ZDU-002_README.md,private/infra/assets/cdu/ZDU-002/ZDU-002_README.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README_QMA360_STRUCTURE.md,private/infra/assets/qma360/README_QMA360_STRUCTURE.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README_qma360.md,private/infra/assets/qma360/README_qma360.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README.md,private/infra/assets/qma360/banca/input/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README.md,private/infra/assets/qma360/banca/output/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README.md,private/infra/assets/qma360/banca/procesado/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README.md,private/infra/assets/qma360/industria/input/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README.md,private/infra/assets/qma360/industria/output/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README.md,private/infra/assets/qma360/industria/procesado/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README_salud-beneficios.md,private/infra/assets/qma360/salud-beneficios/README_salud-beneficios.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README.md,private/infra/assets/qma360/gobierno/input/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README.md,private/infra/assets/qma360/gobierno/output/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README.md,private/infra/assets/qma360/gobierno/procesado/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README_salud-casos-estudio.md,private/infra/assets/qma360/salud-casos-estudio/README_salud-casos-estudio.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README_banca-beneficios.md,private/infra/assets/qma360/banca-beneficios/README_banca-beneficios.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README.md,private/infra/assets/qma360/salud/input/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README.md,private/infra/assets/qma360/salud/output/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README.md,private/infra/assets/qma360/salud/procesado/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README_PARTNER_SYNC.md,private/infra/assets/qma360/partners/README_PARTNER_SYNC.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README_banca-datasheets.md,private/infra/assets/qma360/banca-datasheets/README_banca-datasheets.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README_educacion-textsheets.md,private/infra/assets/qma360/educacion-textsheets/README_educacion-textsheets.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README_salud-datasheets.md,private/infra/assets/qma360/salud-datasheets/README_salud-datasheets.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README_blackcat.md,private/infra/assets/villanos/blackhat/README_blackcat.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README-JAVA-ENV.md,private/infra/validation/README-JAVA-ENV.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README.md,private/infra/sql/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
SUPABASE-STRUCTURE-AUDIT.md,private/infra/sql/auditoria/structure_snapshots/SUPABASE-STRUCTURE-AUDIT.md,other,fuera de checkpoints,✅ Consolidado en Checkpoints
README-INTELGEN-RISK.md,private/inteligen/README-INTELGEN-RISK.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
INTELGEN-RISK.md,private/inteligen/INTELGEN-RISK.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README.md,private/bitacoras/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README.md,private/quality/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
ZDU_QUALITY_INDEX.md,private/quality/ZDU_QUALITY_INDEX.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
ZDU_QUALITY_INDEX.md,private/quality/console/ZDU_QUALITY_INDEX.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README-ZDU-FRAMEWORK.md,private/framework/README-ZDU-FRAMEWORK.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
ZDU-RECALC.md,private/recalc/ZDU-RECALC.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
NODO-CAMP.md,private/campaigns/NODO-CAMP.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README.md,private/universe/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README.md,private/universe/ifrl/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README.md,private/universe/mutacore/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README.md,private/universe/nodecamp/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README.md,private/universe/cerebrum/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
