,Archivo,Ruta,Tipo,Ubicación,Estado,Sugerencia
82,README.md,private/infra/assets/qma360/gobierno/output/README.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
83,README.md,private/infra/assets/qma360/gobierno/procesado/README.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
86,README.md,private/infra/assets/qma360/salud/input/README.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
87,README.md,private/infra/assets/qma360/salud/output/README.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
88,README.md,private/infra/assets/qma360/salud/procesado/README.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
100,README.md,private/bitacoras/README.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
19,README_AUTH.md,private/infra/auth/jwt/README_AUTH.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
53,README_CRAWLER_ZDU.md,private/infra/scripts/crawlers/README_CRAWLER_ZDU.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
57,README_INTELGEN-MD-AUDIT.md,private/infra/scripts/audits/runners/README_INTELGEN-MD-AUDIT.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📦 Mover a /checkpoints (auditoría)
89,README_PARTNER_SYNC.md,private/infra/assets/qma360/partners/README_PARTNER_SYNC.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
72,README_QMA360_STRUCTURE.md,private/infra/assets/qma360/README_QMA360_STRUCTURE.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
9,README_SUPRASTRUCTURE.md,private/infra/README_SUPRASTRUCTURE.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
65,README_ZDU_MANIFESTS.md,private/infra/mappings/README_ZDU_MANIFESTS.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
85,README_banca-beneficios.md,private/infra/assets/qma360/banca-beneficios/README_banca-beneficios.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
90,README_banca-datasheets.md,private/infra/assets/qma360/banca-datasheets/README_banca-datasheets.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📦 Mover (módulos operativos)
93,README_blackcat.md,private/infra/assets/villanos/blackhat/README_blackcat.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
91,README_educacion-textsheets.md,private/infra/assets/qma360/educacion-textsheets/README_educacion-textsheets.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
70,README_luna_varela.md,private/infra/assets/heroes/luna-varela/README_luna_varela.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
48,README_master_genie.md,private/infra/ai/genie/README_master_genie.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📦 Mover a /checkpoints (infra AI)
73,README_qma360.md,private/infra/assets/qma360/README_qma360.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
69,README_renders.md,private/infra/assets/renders/README_renders.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
80,README_salud-beneficios.md,private/infra/assets/qma360/salud-beneficios/README_salud-beneficios.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
84,README_salud-casos-estudio.md,private/infra/assets/qma360/salud-casos-estudio/README_salud-casos-estudio.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
92,README_salud-datasheets.md,private/infra/assets/qma360/salud-datasheets/README_salud-datasheets.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📦 Mover (módulos operativos)
95,README_sql.md,private/infra/sql/README_sql.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
111,RULESTACK.md,private/rules/RULESTACK.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
97,SUPABASE-STRUCTURE-AUDIT.md,private/infra/sql/auditoria/structure_snapshots/SUPABASE-STRUCTURE-AUDIT.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
71,ZDU-002_README.md,private/infra/assets/cdu/ZDU-002/ZDU-002_README.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
51,ZDU-GITHUB-CONTROL.md,private/infra/ai/modulos-sugeridos/ZDU-GITHUB-CONTROL.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
50,ZDU-OSS-HEALTHSCAN.md,private/infra/ai/modulos-sugeridos/ZDU-OSS-HEALTHSCAN.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
110,ZDU-RECALC.md,private/recalc/ZDU-RECALC.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
112,ZDU-RULESTACK.md,private/rules/ZDU-RULESTACK.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
103,ZDU-SIGMA-CORE-CHECKPOINT.md,private/quality/ZDU-SIGMA-CORE-CHECKPOINT.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
49,ZDU-WORKFLOW-INTEL.md,private/infra/ai/modulos-sugeridos/ZDU-WORKFLOW-INTEL.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
6,ZDU_BLOB_SYNC_ENGINE_V1.md,zdu-storage/specs/ZDU_BLOB_SYNC_ENGINE_V1.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
4,ZDU_BLOB_VALIDATION_ENGINE_V1.md,zdu-storage/specs/ZDU_BLOB_VALIDATION_ENGINE_V1.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
68,ZDU_FOLDER_DEPENDENCY_STRATEGY_V1.md,private/infra/mappings/ZDU_FOLDER_DEPENDENCY_STRATEGY_V1.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
67,ZDU_FOLDER_MAPPING_SCHEMA_V1.md,private/infra/mappings/ZDU_FOLDER_MAPPING_SCHEMA_V1.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
8,ZDU_INFRA_INDEX.md,private/infra/ZDU_INFRA_INDEX.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
64,ZDU_INFRA_MILESTONE_001.md,private/infra/milestones/ZDU_INFRA_MILESTONE_001.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
107,ZDU_QUALITY_INDEX.md,private/quality/ZDU_QUALITY_INDEX.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
108,ZDU_QUALITY_INDEX.md,private/quality/console/ZDU_QUALITY_INDEX.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
42,bitacora-ingesta-cdu_20250801.md,private/infra/logs/ingestas/bitacora-ingesta-cdu_20250801.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📦 Mover a /checkpoints (bitácora)
15,clerk-identity-core.md,private/infra/identity/clerk/clerk-identity-core.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
17,clerk-identity-core.md,private/infra/auth/clerk-identity-core.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
16,clerk-supabase-jwt-bridge.md,private/infra/auth/clerk-supabase-jwt-bridge.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
43,ligas-tecnologias.md,private/infra/ai/ligas-tecnologias.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📦 Mover a /checkpoints (bitácora)
96,qma360_candado_readmes.md,private/infra/sql/qma360_candado_readmes.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
1,readme.md,zdu-storage/readme.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
3,readme.md,zdu-storage/crawlers/readme.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
7,readme.md,private/readme.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
10,readme.md,private/infra/readme.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
12,readme.md,private/infra/experimental/readme.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📦 Mover a /checkpoints (documentación técnica)
56,readme.md,private/infra/scripts/audits/readme.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📦 Mover a /checkpoints (auditoría)
58,readme.md,private/infra/scripts/audits/runners/readme.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📦 Mover a /checkpoints (auditoría)
60,readme.md,private/infra/scripts/audits/data/readme.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📦 Mover a /checkpoints (auditoría)
63,readme.md,private/infra/milestones/readme.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
66,readme.md,private/infra/mappings/readme.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
45,roadmap.md,private/infra/ai/roadmap.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
