,Archivo,Carpeta,Tipo,Recomendación
68,readme.md,private/infra/milestones,README,✓ Ya está documentado correctamente
57,README.md,private/infra/scripts,README,✓ Ya está documentado correctamente
61,readme.md,private/infra/scripts/audits,README,✓ Ya está documentado correctamente
65,readme.md,private/infra/scripts/audits/data,README,✓ Ya está documentado correctamente
64,README.md,private/infra/scripts/audits/modules,README,✓ Ya está documentado correctamente
62,README_INTELGEN-MD-AUDIT.md,private/infra/scripts/audits/runners,README,✓ Ya está documentado correctamente
63,readme.md,private/infra/scripts/audits/runners,README,✓ Ya está documentado correctamente
60,README-iCrawler.md,private/infra/scripts/crawlers,README,✓ Ya está documentado correctamente
59,README.md,private/infra/scripts/crawlers,README,✓ Ya está documentado correctamente
58,README_CRAWLER_ZDU.md,private/infra/scripts/crawlers,README,✓ Ya está documentado correctamente
67,README.md,private/infra/scripts/data,README,✓ Ya está documentado correctamente
66,README.md,private/infra/scripts/utils,README,✓ Ya está documentado correctamente
100,README.md,private/infra/sql,README,✓ Ya está documentado correctamente
99,README-JAVA-ENV.md,private/infra/validation,README,✓ Ya está documentado correctamente
7,readme.md,private/infra/zdu-storage,README,✓ Ya está documentado correctamente
8,README.md,private/infra/zdu-storage/blob-inventory,README,✓ Ya está documentado correctamente
9,readme.md,private/infra/zdu-storage/crawlers,README,✓ Ya está documentado correctamente
11,README.md,private/infra/zdu-storage/specs,README,✓ Ya está documentado correctamente
103,README.md,private/quality,README,✓ Ya está documentado correctamente
106,README.md,private/universe,README,✓ Ya está documentado correctamente
112,README.md,private/universe/cerebrum,README,✓ Ya está documentado correctamente
107,README.md,private/universe/ifrl,README,✓ Ya está documentado correctamente
108,README.md,private/universe/inteligen,README,✓ Ya está documentado correctamente
110,README.md,private/universe/mutacore,README,✓ Ya está documentado correctamente
111,README.md,private/universe/nodecamp,README,✓ Ya está documentado correctamente
109,README.md,private/universe/recalc,README,✓ Ya está documentado correctamente
