,Archivo,Ruta,Tipo,Ubicación,Estado
80,README_qma360.md,private/infra/assets/qma360/README_qma360.md,other,🔍 Fuera de checkpoints,🟡 Por mover
76,README_renders.md,private/infra/assets/renders/README_renders.md,other,🔍 Fuera de checkpoints,🟡 Por mover
87,README_salud-beneficios.md,private/infra/assets/qma360/salud-beneficios/README_salud-beneficios.md,other,🔍 Fuera de checkpoints,🟡 Por mover
91,README_salud-casos-estudio.md,private/infra/assets/qma360/salud-casos-estudio/README_salud-casos-estudio.md,other,🔍 Fuera de checkpoints,🟡 Por mover
99,README_salud-datasheets.md,private/infra/assets/qma360/salud-datasheets/README_salud-datasheets.md,other,🔍 Fuera de checkpoints,🟡 Por mover
113,RULESTACK.md,private/rules/RULESTACK.md,other,🔍 Fuera de checkpoints,🟡 Por mover
103,SUPABASE-STRUCTURE-AUDIT.md,private/infra/sql/auditoria/structure_snapshots/SUPABASE-STRUCTURE-AUDIT.md,other,🔍 Fuera de checkpoints,🟡 Por mover
78,ZDU-002_README.md,private/infra/assets/cdu/ZDU-002/ZDU-002_README.md,other,🔍 Fuera de checkpoints,🟡 Por mover
57,ZDU-GITHUB-CONTROL.md,private/infra/ai/modulos-sugeridos/ZDU-GITHUB-CONTROL.md,other,🔍 Fuera de checkpoints,🟡 Por mover
56,ZDU-OSS-HEALTHSCAN.md,private/infra/ai/modulos-sugeridos/ZDU-OSS-HEALTHSCAN.md,other,🔍 Fuera de checkpoints,🟡 Por mover
112,ZDU-RECALC.md,private/recalc/ZDU-RECALC.md,other,🔍 Fuera de checkpoints,🟡 Por mover
114,ZDU-RULESTACK.md,private/rules/ZDU-RULESTACK.md,other,🔍 Fuera de checkpoints,🟡 Por mover
107,ZDU-SIGMA-CORE-CHECKPOINT.md,private/quality/ZDU-SIGMA-CORE-CHECKPOINT.md,other,🔍 Fuera de checkpoints,🟡 Por mover
55,ZDU-WORKFLOW-INTEL.md,private/infra/ai/modulos-sugeridos/ZDU-WORKFLOW-INTEL.md,other,🔍 Fuera de checkpoints,🟡 Por mover
16,ZDU_BLOB_SYNC_ENGINE_V1.md,private/infra/zdu-storage/specs/ZDU_BLOB_SYNC_ENGINE_V1.md,other,🔍 Fuera de checkpoints,🟡 Por mover
14,ZDU_BLOB_VALIDATION_ENGINE_V1.md,private/infra/zdu-storage/specs/ZDU_BLOB_VALIDATION_ENGINE_V1.md,other,🔍 Fuera de checkpoints,🟡 Por mover
75,ZDU_FOLDER_DEPENDENCY_STRATEGY_V1.md,private/infra/mappings/ZDU_FOLDER_DEPENDENCY_STRATEGY_V1.md,other,🔍 Fuera de checkpoints,🟡 Por mover
74,ZDU_FOLDER_MAPPING_SCHEMA_V1.md,private/infra/mappings/ZDU_FOLDER_MAPPING_SCHEMA_V1.md,other,🔍 Fuera de checkpoints,🟡 Por mover
71,ZDU_INFRA_MILESTONE_001.md,private/infra/milestones/ZDU_INFRA_MILESTONE_001.md,other,🔍 Fuera de checkpoints,🟡 Por mover
109,ZDU_QUALITY_INDEX.md,private/quality/ZDU_QUALITY_INDEX.md,other,🔍 Fuera de checkpoints,🟡 Por mover
110,ZDU_QUALITY_INDEX.md,private/quality/console/ZDU_QUALITY_INDEX.md,other,🔍 Fuera de checkpoints,🟡 Por mover
48,bitacora-ingesta-cdu_20250801.md,private/infra/logs/ingestas/bitacora-ingesta-cdu_20250801.md,other,🔍 Fuera de checkpoints,🟡 Por mover
8,clerk-identity-core.md,private/infra/auth/clerk-identity-core.md,other,🔍 Fuera de checkpoints,🟡 Por mover
7,clerk-supabase-jwt-bridge.md,private/infra/auth/clerk-supabase-jwt-bridge.md,other,🔍 Fuera de checkpoints,🟡 Por mover
49,ligas-tecnologias.md,private/infra/ai/ligas-tecnologias.md,other,🔍 Fuera de checkpoints,🟡 Por mover
3,readme.md,private/infra/readme.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover
5,readme.md,private/infra/experimental/readme.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover
11,readme.md,private/infra/zdu-storage/readme.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover
13,readme.md,private/infra/zdu-storage/crawlers/readme.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover
63,readme.md,private/infra/scripts/audits/readme.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover
65,readme.md,private/infra/scripts/audits/runners/readme.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover
67,readme.md,private/infra/scripts/audits/data/readme.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover
70,readme.md,private/infra/milestones/readme.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover
73,readme.md,private/infra/mappings/readme.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover
51,roadmap.md,private/infra/ai/roadmap.md,other,🔍 Fuera de checkpoints,🟡 Por mover
